Position,XY,XZ,YZ,
395,0.81211,0.81704,0.86329,
396,0.81269,0.81390,0.86325,
397,0.81333,0.81028,0.86260,
398,0.81330,0.80707,0.86169,
399,0.81254,0.80436,0.86044,
400,0.81238,0.80147,0.85861,
401,0.81234,0.79793,0.85745,
402,0.81271,0.79445,0.85654,
403,0.81333,0.79138,0.85570,
404,0.81471,0.78902,0.85489,
405,0.81639,0.78764,0.85419,
406,0.81906,0.78691,0.85398,
407,0.82125,0.78793,0.85367,
408,0.82333,0.78903,0.85306,
409,0.82501,0.78924,0.85334,
410,0.82630,0.78897,0.85358,
411,0.82791,0.78845,0.85332,
412,0.82922,0.78829,0.85271,
413,0.83097,0.78850,0.85195,
414,0.83258,0.78858,0.85165,
415,0.83365,0.78982,0.85082,
416,0.83406,0.79116,0.84985,
417,0.83426,0.79180,0.84865,
418,0.83392,0.79213,0.84854,
419,0.83392,0.79162,0.84825,
420,0.83486,0.79055,0.84741,
421,0.83579,0.78988,0.84632,
422,0.83613,0.78984,0.84594,
423,0.83589,0.78966,0.84532,
424,0.83580,0.78905,0.84574,
425,0.83649,0.78843,0.84547,
426,0.83694,0.78807,0.84444,
427,0.83724,0.78773,0.84400,
428,0.83696,0.78752,0.84419,
429,0.83630,0.78719,0.84443,
430,0.83542,0.78687,0.84512,
431,0.83421,0.78794,0.84549,
432,0.83338,0.78915,0.84508,
433,0.83251,0.79007,0.84392,
434,0.83170,0.79242,0.84253,
435,0.83048,0.79570,0.84053,
436,0.82934,0.79884,0.83812,
437,0.82840,0.80117,0.83493,
438,0.82799,0.80269,0.83192,
439,0.82846,0.80445,0.82886,
440,0.82912,0.80634,0.82598,
441,0.82984,0.80868,0.82290,
442,0.83031,0.81063,0.81917,
443,0.83090,0.81179,0.81509,
444,0.83294,0.81226,0.81045,
445,0.83529,0.81253,0.80592,
446,0.83789,0.81309,0.80093,
447,0.84026,0.81413,0.79672,
448,0.84234,0.81588,0.79200,
449,0.84439,0.81734,0.78744,
450,0.84658,0.81870,0.78314,
451,0.84841,0.82030,0.77932,
452,0.84943,0.82183,0.77637,
453,0.84992,0.82327,0.77398,
454,0.85051,0.82444,0.77140,
455,0.85069,0.82478,0.76917,
456,0.85116,0.82516,0.76693,
457,0.85083,0.82530,0.76549,
458,0.84970,0.82554,0.76414,
459,0.84776,0.82570,0.76341,
460,0.84582,0.82663,0.76248,
461,0.84361,0.82813,0.76199,
462,0.84113,0.83052,0.76115,
463,0.83833,0.83242,0.76003,
464,0.83525,0.83371,0.75944,
465,0.83285,0.83497,0.75930,
466,0.83042,0.83652,0.75940,
467,0.82826,0.83859,0.76068,
468,0.82600,0.84071,0.76225,
469,0.82375,0.84285,0.76350,
470,0.82203,0.84505,0.76457,
